ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
BburgPlaORF_BBU03_x_at	0.0185	0.00000591	10.527868	3.989585	7.598645		
YpesChrORF_YPO3670_at	0.0185	0.00000679	10.333186	3.890673	6.236903	YPO3670	hypothetical protein
BburgPlaORF_BBE22_at	0.0185	0.00000704	10.283346	3.864888	6.374768		
SpM1_ChORF1393_s_at	0.0185	0.00000812	10.089584	3.762806	5.543105	pepB	putative oligopeptidase
SpM1_ChORF0388_s_at	0.0185	0.00000915	9.929251	3.676073	5.800018	murE	putative UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate ligase
SpM18_ChORF0761_s_at	0.0185	0.00000924	9.915919	3.668767	6.142327		
YpesChrORF_YPO0343_s_at	0.0185	0.00000959	9.865944	3.641249	5.538844	hydN	4Fe-4S ferredoxin
BburgPlaORF_BBE17_at	0.0185	0.00001026	9.77645	3.591451	5.678456		
SpM18_ChORF0118_s_at	0.0185	0.00001208	9.563953	3.470483	5.721435		
YpesChrORF_YPO1831_s_at	0.0185	0.00001242	9.52822	3.449758	5.250874	fliE	flagellar hook-basal body protein FliE
SauMu50ChORFSAV0921_s_at	0.0185	0.00001477	9.306866	3.318838	5.056691		
BburgPlaORF_BBH06_at	0.0185	0.00001734	-9.105841	3.196062	-5.565046		
BburgPlaORF_BBI29_at	0.0185	0.00001911	8.986332	3.121267	5.775038		
BburgPlaORF_BBQ06_x_at	0.0185	0.00002004	8.928271	3.084432	5.570564		
SauEMRSA16ChORF1252_s_at	0.0185	0.00002087	8.879111	3.052987	4.830285		
SauCOLChORF01438_s_at	0.0185	0.00002096	8.873805	3.049579	5.591267		
SpM1_ChORF0723_at	0.0185	0.00002127	8.855714	3.037938	5.483913		
SauMu50ChORFSAV0777_s_at	0.0185	0.00002228	8.799764	3.00173	5.037106		
YpesChrORF_YPO0071_s_at	0.0185	0.00002581	8.624298	2.886137	4.914179	YPO0071	methyltransferase
SpM1_ChORF1290_s_at	0.0185	0.00002609	8.611287	2.87744	5.338762		
BburgPlaORF_BBI41_x_at	0.0185	0.00002856	8.504803	2.805607	5.25534		
SauCOLChORF00597_s_at	0.0185	0.00002869	8.499683	2.802124	5.580971		
SauMu50ChORFSAV1076_s_at	0.0185	0.00003066	8.421926	2.748877	4.662537		
SauMu50ChORFSAV1351_s_at	0.0185	0.00003182	8.378881	2.719123	4.896051		
SauMu50ChORFSAV0439_s_at	0.0185	0.00003528	8.260176	2.636037	5.420771		
Cbur00231_s_at	0.0185	0.0000372	8.199968	2.593307	4.771513		
SauMu50ChORFSAV0325_s_at	0.0185	0.000038	8.175662	2.575944	5.361864		
SauEMRSA16ChORF1832_s_at	0.0185	0.00003913	8.142414	2.552086	4.942246		
SauMu50ChORFSAV0376_s_at	0.0185	0.00004024	8.111048	2.529465	4.810581		
SauEMRSA16ChORF1946_s_at	0.0185	0.00004092	8.092105	2.515751	5.661486		
SpM1_ChORF1012_s_at	0.0185	0.00004434	8.00233	2.4502	4.376998		
Cbur01894_at	0.0185	0.00004577	7.966844	2.424036	4.502039		
SauMu50ChORFSAV0478_s_at	0.0185	0.00004695	7.938636	2.403134	4.717584		
SauCOLChORF01838_x_at	0.0185	0.00004814	7.910981	2.382554	4.333456		
BburgPlaORF_BBU09_x_at	0.0185	0.00005066	7.854721	2.340409	5.342426		
BburgPlaORF_BBA16_at	0.0185	0.00005353	7.794548	2.294923	4.222973		
SpM1_ChORF1422_s_at	0.0185	0.00005443	7.776384	2.281108	4.462782	recR	putative recombination protein
YpesChrORF_YPO2061_s_at	0.0185	0.00005456	7.773677	2.279046	4.316366	znuA	high-affinity zinc transporter substrate-binding protein
SauEMRSA16ChORF1625_x_at	0.0185	0.00005819	7.703798	2.225509	4.110563		
YpesChrORF_YPO2748_s_at	0.0185	0.00005963	7.677471	2.205187	4.843962	sixA	phosphohistidine phosphatase
SpM1_ChORF1138_s_at	0.0185	0.00006106	7.651931	2.185392	4.142939		
SauMu50ChORFSAV0917_at	0.0185	0.00006207	7.63416	2.171572	5.062649		
SpM1_ChORF2209_s_at	0.0185	0.00006217	7.632475	2.170259	4.623257		
SauCOLChORF00855_s_at	0.0185	0.00006695	7.553268	2.108177	5.268092		
BburgPlaORF_BBA15_at	0.0185	0.00006705	7.551788	2.107009	4.060846		
Cbur01185_at	0.0185	0.00006812	7.534875	2.093649	5.300582		
Sau8325ChORF1951_s_at	0.0185	0.00006885	7.523609	2.084731	4.656435		
Cbur00762_at	0.0185	0.00007051	7.498294	2.064633	4.194133		
SauMu50ChORFSAV0331_s_at	0.0185	0.000071	7.490962	2.058797	5.054115		
