ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
AFFX-18SRNAMur/X00686_M_at			2.286	2.53
AFFX-b-ActinMur/M12481_M_at			2.577	2.615
AFFX-BioB-3_at			1.994	2.248
AFFX-BioB-5_at			2.056	2.269
AFFX-BioB-M_at			1.934	2.133
AFFX-BioC-3_at			1.976	2.2
AFFX-BioC-5_at			1.963	2.154
AFFX-BioDn-3_at			1.984	2.201
AFFX-BioDn-5_at			1.909	2.064
AFFX-CreX-3_at			1.917	2.161
AFFX-CreX-5_at			2.052	2.306
AFFX-DapX-3_at			2.343	2.15
AFFX-DapX-5_at			2.181	2.273
AFFX-DapX-M_at			2.74	2.631
AFFX-HSAC07/X00351_3_at			2.733	1.824
AFFX-hum_alu_at			2.792	2.072
AFFX-HUMGAPDH/M33197_3_at			3.318	2.448
AFFX-HUMISGF3A/M97935_3_at			2.492	2.294
AFFX-HUMISGF3A/M97935_MB_at			2.501	2.28
AFFX-HUMRGE/M10098_M_at			1.742	1.792
AFFX-LysX-3_at			2.16	2.168
AFFX-LysX-5_at			2.337	2.309
AFFX-LysX-M_at			2.144	2.203
AFFX-M27830_3_at			4.718	2.978
AFFX-M27830_5_at			2.038	1.853
AFFX-MURINE_B2_at			2.15	2.357
AFFX-PheX-3_at			2.265	1.991
AFFX-PheX-5_at			2.166	2.283
AFFX-PheX-M_at			2.072	2.069
AFFX-PyruCarbMur/L09192_3_at			3.569	2.729
AFFX-PyruCarbMur/L09192_5_at			2.285	1.785
AFFX-PyruCarbMur/L09192_MB_at			2.526	2.477
AFFX-r2-Bs-dap-3_at			2.161	1.926
AFFX-r2-Bs-dap-5_at			2.244	2.416
AFFX-r2-Bs-dap-M_at			2.317	2.201
AFFX-r2-Bs-lys-3_at			2.149	2.228
AFFX-r2-Bs-lys-5_at			1.978	2.143
AFFX-r2-Bs-lys-M_at			2.095	2.063
AFFX-r2-Bs-phe-3_at			2.098	2.17
AFFX-r2-Bs-phe-5_at			2.048	2.218
AFFX-r2-Bs-phe-M_at			2.256	1.754
AFFX-r2-Bs-thr-5_s_at			2.101	2.14
AFFX-r2-Bs-thr-M_s_at			2.089	1.847
AFFX-r2-Ec-bioB-3_at			1.98	2.229
AFFX-r2-Ec-bioB-5_at			1.889	2.059
